Trader_A,Stock_X,1,Buy
Trader_B,Stock_X,1,Buy
Trader_C,Stock_X,1,Buy
Trader_D,Stock_X,1,Buy
Trader_E,Stock_X,1,Buy
Trader_F,Stock_X,1,Buy
Trader_G,Stock_X,1,Buy
Trader_H,Stock_X,1,Buy
Trader_I,Stock_X,1,Buy
Trader_J,Stock_X,1,Buy
Trader_K,Stock_X,1,Buy
Trader_L,Stock_X,1,Buy
Trader_M,Stock_X,1,Buy
Trader_N,Stock_X,1,Buy
Trader_O,Stock_X,1,Buy
Trader_P,Stock_X,1,Buy
Trader_Q,Stock_X,1,Buy
Trader_R,Stock_X,1,Buy
Trader_S,Stock_X,1,Buy
Trader_T,Stock_X,1,Buy
Trader_U,Stock_X,1,Buy
Trader_V,Stock_X,1,Buy
Trader_W,Stock_X,1,Buy
Trader_X,Stock_X,1,Buy
Trader_Y,Stock_X,1,Buy
Trader_Z,Stock_X,1,Buy
Trader_A,Stock_X,1,Buy
Trader_B,Stock_X,1,Buy
Trader_C,Stock_X,1,Buy
Trader_D,Stock_X,1,Buy
Trader_E,Stock_X,1,Buy
Trader_F,Stock_X,1,Buy
Trader_G,Stock_X,1,Buy
Trader_H,Stock_X,1,Buy
Trader_I,Stock_X,1,Buy
Trader_J,Stock_X,1,Buy
Trader_K,Stock_X,1,Buy
Trader_L,Stock_X,1,Buy
Trader_M,Stock_X,1,Buy
Trader_N,Stock_X,1,Buy
Trader_O,Stock_X,1,Buy
Trader_P,Stock_X,1,Buy
Trader_Q,Stock_X,1,Buy
Trader_R,Stock_X,1,Buy
Trader_S,Stock_X,1,Buy
Trader_T,Stock_X,1,Buy
Trader_U,Stock_X,1,Buy
Trader_V,Stock_X,1,Buy
Trader_W,Stock_X,1,Buy
Trader_X,Stock_X,1,Buy
Trader_Y,Stock_X,1,Buy
Trader_Z,Stock_X,1,Buy
Trader_A,Stock_X,1,Buy
Trader_B,Stock_X,1,Buy
Trader_C,Stock_X,1,Buy
Trader_D,Stock_X,1,Buy
Trader_E,Stock_X,1,Buy
Trader_F,Stock_X,1,Buy
Trader_G,Stock_X,1,Buy
Trader_H,Stock_X,1,Buy
Trader_I,Stock_X,1,Buy
Trader_J,Stock_X,1,Buy
Trader_K,Stock_X,1,Buy
Trader_L,Stock_X,1,Buy
Trader_M,Stock_X,1,Buy
Trader_N,Stock_X,1,Buy
Trader_O,Stock_X,1,Buy
Trader_P,Stock_X,1,Buy
Trader_Q,Stock_X,1,Buy
Trader_R,Stock_X,1,Buy
Trader_S,Stock_X,1,Buy
Trader_T,Stock_X,1,Buy
Trader_U,Stock_X,1,Buy
Trader_V,Stock_X,1,Buy
Trader_W,Stock_X,1,Buy
Trader_X,Stock_X,1,Buy
Trader_Y,Stock_X,1,Buy
Trader_Z,Stock_X,1,Buy
Trader_A,Stock_X,1,Buy
Trader_B,Stock_X,1,Buy
Trader_C,Stock_X,1,Buy
Trader_D,Stock_X,1,Buy
Trader_E,Stock_X,1,Buy
Trader_F,Stock_X,1,Buy
Trader_G,Stock_X,1,Buy
Trader_H,Stock_X,1,Buy
Trader_I,Stock_X,1,Buy
Trader_J,Stock_X,1,Buy
Trader_K,Stock_X,1,Buy
Trader_L,Stock_X,1,Buy
Trader_M,Stock_X,1,Buy
